"Subject_ID","Activity","Measurement","M_Estimate","Average_Measurement"
1,"Laying","AngleGravity","mean",-0.148683566846667
1,"Laying","fBodyAcc","mean",-0.896277044593333
1,"Laying","fBodyAcc","std",-0.856984850046667
1,"Laying","fBodyAccJerk","mean",-0.942532465933333
1,"Laying","fBodyAccJerk","std",-0.9523218554
1,"Laying","fBodyAccMag","mean",-0.8617676481
1,"Laying","fBodyAccMag","std",-0.7983009404
1,"Laying","fBodyBodyAccJerkMag","mean",-0.9333003608
1,"Laying","fBodyBodyAccJerkMag","std",-0.9218039756
1,"Laying","fBodyBodyGyroJerkMag","mean",-0.9423669466
1,"Laying","fBodyBodyGyroJerkMag","std",-0.9326606676
1,"Laying","fBodyBodyGyroMag","mean",-0.8621901854
1,"Laying","fBodyBodyGyroMag","std",-0.82431943968
1,"Laying","fBodyGyro","mean",-0.903914463462
1,"Laying","fBodyGyro","std",-0.916703669466667
1,"Laying","tBodyAcc","mean",0.0226269123102
1,"Laying","tBodyAcc","std",-0.863648425482667
1,"Laying","tBodyAccAngleGravity","mean",0.0213659655642
1,"Laying","tBodyAccJerk","mean",0.0319196581899333
1,"Laying","tBodyAccJerk","std",-0.945828832133333
1,"Laying","tBodyAccJerkAngleGravity","mean",0.00306040735
1,"Laying","tBodyAccJerkMag","mean",-0.9543962646
1,"Laying","tBodyAccJerkMag","std",-0.9282456284
1,"Laying","tBodyAccMag","mean",-0.8419291525
1,"Laying","tBodyAccMag","std",-0.79514486386
1,"Laying","tBodyGyro","mean",0.0225500727313333
1,"Laying","tBodyGyro","std",-0.910972990206667
1,"Laying","tBodyGyroAngleGravity","mean",-0.001666984698
1,"Laying","tBodyGyroJerk","mean",-0.074279452394
1,"Laying","tBodyGyroJerk","std",-0.948101974666667
1,"Laying","tBodyGyroJerkAngleGravity","mean",0.08443716468
1,"Laying","tBodyGyroJerkMag","mean",-0.96346103
1,"Laying","tBodyGyroJerkMag","std",-0.9358409828
1,"Laying","tBodyGyroMag","mean",-0.874759548
1,"Laying","tBodyGyroMag","std",-0.81901016976
1,"Laying","tGravityAcc","mean",0.300828564993333
1,"Laying","tGravityAcc","std",-0.885638771793333
1,"Laying","tGravityAccMag","mean",-0.8419291525
1,"Laying","tGravityAccMag","std",-0.79514486386
1,"Sitting","AngleGravity","mean",-0.289910243566667
1,"Sitting","fBodyAcc","mean",-0.960970226099291
1,"Sitting","fBodyAcc","std",-0.942718959219858
1,"Sitting","fBodyAccJerk","mean",-0.984743193971631
1,"Sitting","fBodyAccJerk","std",-0.986115362978723
1,"Sitting","fBodyAccMag","mean",-0.947782922553192
1,"Sitting","fBodyAccMag","std",-0.928444801702128
1,"Sitting","fBodyBodyAccJerkMag","mean",-0.985262126808511
1,"Sitting","fBodyBodyAccJerkMag","std",-0.981606177446808
1,"Sitting","fBodyBodyGyroJerkMag","mean",-0.989797547234043
1,"Sitting","fBodyBodyGyroJerkMag","std",-0.987049617234043
1,"Sitting","fBodyBodyGyroMag","mean",-0.958435589361702
1,"Sitting","fBodyBodyGyroMag","std",-0.932198374893617
1,"Sitting","fBodyGyro","mean",-0.967771864609929
1,"Sitting","fBodyGyro","std",-0.961389036879433
1,"Sitting","tBodyAcc","mean",0.0517950318395035
1,"Sitting","tBodyAcc","std",-0.946477980425532
1,"Sitting","tBodyAccAngleGravity","mean",0.0274415479191489
1,"Sitting","tBodyAccJerk","mean",0.0244985416073759
1,"Sitting","tBodyAccJerk","std",-0.985237827021277
1,"Sitting","tBodyAccJerkAngleGravity","mean",0.0297097878297872
1,"Sitting","tBodyAccJerkMag","mean",-0.987364195531915
1,"Sitting","tBodyAccJerkMag","std",-0.984120024042553
1,"Sitting","tBodyAccMag","mean",-0.948536786170213
1,"Sitting","tBodyAccMag","std",-0.927078418723404
1,"Sitting","tBodyGyro","mean",-0.0247809434191489
1,"Sitting","tBodyGyro","std",-0.961703699787234
1,"Sitting","tBodyGyroAngleGravity","mean",0.0676981338723404
1,"Sitting","tBodyGyroJerk","mean",-0.0601979400496454
1,"Sitting","tBodyGyroJerk","std",-0.989728489007092
1,"Sitting","tBodyGyroJerkAngleGravity","mean",-0.064881619087234
1,"Sitting","tBodyGyroJerkMag","mean",-0.991976341276596
1,"Sitting","tBodyGyroJerkMag","std",-0.988308728510638
1,"Sitting","tBodyGyroMag","mean",-0.93089249
1,"Sitting","tBodyGyroMag","std",-0.934531840425532
1,"Sitting","tGravityAcc","mean",0.455988409617021
1,"Sitting","tGravityAcc","std",-0.951005044964539
1,"Sitting","tGravityAccMag","mean",-0.948536786170213
1,"Sitting","tGravityAccMag","std",-0.927078418723404
1,"Standing","AngleGravity","mean",-0.153660001572327
1,"Standing","fBodyAcc","mean",-0.985872626352201
1,"Standing","fBodyAcc","std",-0.982086235597484
1,"Standing","fBodyAccJerk","mean",-0.990267222641509
1,"Standing","fBodyAccJerk","std",-0.991480601383648
1,"Standing","fBodyAccMag","mean",-0.985356361132075
1,"Standing","fBodyAccMag","std",-0.982313804716981
1,"Standing","fBodyBodyAccJerkMag","mean",-0.99254247754717
1,"Standing","fBodyBodyAccJerkMag","std",-0.992536003396226
1,"Standing","fBodyBodyGyroJerkMag","mean",-0.994815376981132
1,"Standing","fBodyBodyGyroJerkMag","std",-0.994671123207547
1,"Standing","fBodyBodyGyroMag","mean",-0.984617623396226
1,"Standing","fBodyBodyGyroMag","std",-0.978466072075472
1,"Standing","fBodyGyro","mean",-0.98538145490566
1,"Standing","fBodyGyro","std",-0.985650062138365
1,"Standing","tBodyAcc","mean",0.0507260737389937
1,"Standing","tBodyAcc","std",-0.98290861163522
1,"Standing","tBodyAccAngleGravity","mean",-0.000222340747169812
1,"Standing","tBodyAccJerk","mean",0.0265557118692075
1,"Standing","tBodyAccJerk","std",-0.990834817358491
1,"Standing","tBodyAccJerkAngleGravity","mean",0.021963782690566
1,"Standing","tBodyAccJerkMag","mean",-0.992367790566038
1,"Standing","tBodyAccJerkMag","std",-0.993096209433962
1,"Standing","tBodyAccMag","mean",-0.984278207358491
1,"Standing","tBodyAccMag","std",-0.981942928867925
1,"Standing","tBodyGyro","mean",-0.00286140159301887
1,"Standing","tBodyGyro","std",-0.985190671194969
1,"Standing","tBodyGyroAngleGravity","mean",-0.0337938382037736
1,"Standing","tBodyGyroJerk","mean",-0.0642075157899371
1,"Standing","tBodyGyroJerk","std",-0.993397163836478
1,"Standing","tBodyGyroJerkAngleGravity","mean",-0.0279229321962264
1,"Standing","tBodyGyroJerkMag","mean",-0.994966790566038
1,"Standing","tBodyGyroJerkMag","std",-0.994733238679245
1,"Standing","tBodyGyroMag","mean",-0.976493792830189
1,"Standing","tBodyGyroMag","std",-0.978690028679245
1,"Standing","tGravityAcc","mean",0.227819583478616
1,"Standing","tGravityAcc","std",-0.983771002201258
1,"Standing","tGravityAccMag","mean",-0.984278207358491
1,"Standing","tGravityAccMag","std",-0.981942928867925
1,"Walking","AngleGravity","mean",-0.127811755196491
1,"Walking","fBodyAcc","mean",-0.148213899237895
1,"Walking","fBodyAcc","std",-0.180927154742561
1,"Walking","fBodyAccJerk","mean",-0.224923904431407
1,"Walking","fBodyAccJerk","std",-0.187186729870456
1,"Walking","fBodyAccMag","mean",-0.128623450629474
1,"Walking","fBodyAccMag","std",-0.398032586842105
1,"Walking","fBodyBodyAccJerkMag","mean",-0.0571194000343158
1,"Walking","fBodyBodyAccJerkMag","std",-0.103492403002105
1,"Walking","fBodyBodyGyroJerkMag","mean",-0.319308593778947
1,"Walking","fBodyBodyGyroJerkMag","std",-0.381601911789474
1,"Walking","fBodyBodyGyroMag","mean",-0.199252568986316
1,"Walking","fBodyBodyGyroMag","std",-0.321017953894737
1,"Walking","fBodyGyro","mean",-0.232677517955439
1,"Walking","fBodyGyro","std",-0.328920775332982
1,"Walking","tBodyAcc","mean",0.0495996122207018
1,"Walking","tBodyAcc","std",-0.143102274768421
1,"Walking","tBodyAccAngleGravity","mean",0.0604537474147368
1,"Walking","tBodyAccJerk","mean",0.0327151122421053
1,"Walking","tBodyAccJerk","std",-0.183104296731228
1,"Walking","tBodyAccJerkAngleGravity","mean",-0.00793037848421052
1,"Walking","tBodyAccJerkMag","mean",-0.141428809031579
1,"Walking","tBodyAccJerkMag","std",-0.0744717500625263
1,"Walking","tBodyAccMag","mean",-0.136971176556842
1,"Walking","tBodyAccMag","std",-0.219688645631579
